轻,506.09
拿,505
百,504.49
级,502.29
育,501.53
决,501.31
统,499.34
改,498.17
火,498.05
必,496.28
照,495.82
调,494.14
刚,491.99
班,491.67
形,491.48
克,491.1
线,475.83
评,475.29
步,475.05
领,474.98
热,473.67
母,472.85
失,472.07
首,470.97
装,470.95
演,470.47
酒,469.09
权,468.99
类,468.65
夫,468.58
历,467.62
课,466.1
阿,466.05
功,465.46
组,462.91
需,462.26
取,461.25
哪,457.36
布,456.29
饭,455.23
医,454.4
研,454.06
较,453.14
青,453.1
根,451.55
父,450.26
据,449.87
查,448.83
朋,447.37
病,446.69
即,446.29
集,445.7
江,445.47
球,445.04
兴,444.56
脸,442.94
示,442.34
店,442.02
则,441.94
黑,440.86
姐,436.84
六,435.7
版,435.69
送,435.04
究,433.1
确,432
引,431.33
备,430.29
阳,429.32
飞,428.89
未,427.14
您,426.15
治,425.9
随,425.18
谁,425.09
约,424.73
标,423.21
切,422.32
易,421.56
室,421.34
香,421.27
终,420.29
诉,418.62
议,418.51
参,417.22
造,415.22
谈,412.19
规,411.3
岁,410.73
具,410.39
际,410
消,409.94
答,409.47
错,408.39
八,407.66
乎,405.89
句,405.18
念,405.01
技,404.26
落,403.93
夜,403.2
推,403.12
故,403.04
局,402.19
似,402.1
段,398.07
志,396.84
况,396.42
支,393.22
黄,391.33
衣,390.91
曾,389.59
词,387.62
史,387.58
歌,384.67
州,384.58
爸,382.93
料,382.84
古,381.52
尽,378.72
极,377.57
谢,377.45
众,377.07
排,374.73
园,374.71
希,373.99
另,373.54
团,373.39
续,372.84
午,372.72
石,372.29
哥,372.06
米,371.94
除,370.94
罗,369.67
馆,369.65
章,369.4
虽,368.99
质,367.39
帮,366.81
底,366.46
响,365.91
紧,365.39
足,364.05
称,363.78
双,360.09
巴,359.41
倒,359.38
村,358.86
千,358.77
够,357.27
济,356.96
亚,356.16
怕,355.81
居,354.82
案,352.88
显,351.31
修,351.26
画,350.76
府,349.66
警,348.51
争,346.53
福,346.13
苦,345.48
投,345.28
断,340.95
般,340.55
绝,340.26
存,340.07
突,339.68
奇,338.07
食,337.64
份,337.57
街,337.48
脑,336.88
简,335.86
初,334.46
毛,333.01
助,332.94
玩,332.67
待,332.51
票,332.14
愿,331.17
创,330.92
久,328.99
户,328.93
味,328.38
闻,325.99
党,325.13
省,325
低,324.11
剧,323.96
静,323.57
纪,322.92
击,322.7
